Date,Time,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
2023-06-29,03:56,ACC759006,ACC517669,3340.33,EUR,MAD,Turkey,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-04-20,19:17,ACC187007,ACC629034,7392.38,MXN,USD,Morocco,USA,E-Wallet,0,Normal_Corporate_Payment
2023-08-06,19:00,ACC781266,ACC320581,2524.01,AED,MXN,Germany,China,Debit Card,0,Normal_Corporate_Payment
2023-06-08,03:03,ACC842003,ACC748053,8968.63,MXN,MXN,Morocco,China,Debit Card,0,Normal_Corporate_Payment
2023-03-02,09:33,ACC147728,ACC506433,5618.6,MXN,GBP,Morocco,Mexico,Cross-Border,1,Suspicious_Shell_Companies
2023-02-12,04:05,ACC901310,ACC425328,5382.94,USD,TRY,UK,Morocco,Debit Card,0,Normal_Personal_Transfer
2023-07-19,06:06,ACC609958,ACC188898,2654.87,CNY,TRY,Turkey,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-11-26,06:19,ACC109145,ACC928267,8352.59,MAD,MXN,Morocco,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-05-06,13:20,ACC712866,ACC895565,5731.77,CNY,MAD,Turkey,China,Cheque,1,Suspicious_RapidMovement
2023-09-25,09:52,ACC118226,ACC725633,1563.61,AED,EUR,Turkey,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-08-29,22:44,ACC364946,ACC664821,2070.92,GBP,AED,USA,UK,Cross-Border,1,Suspicious_Structuring
2023-12-07,03:01,ACC648407,ACC264411,4687.88,MAD,CNY,UK,UK,Credit Card,0,Normal_Personal_Transfer
2023-10-27,23:22,ACC163560,ACC390869,7798.62,GBP,AED,UAE,UAE,Debit Card,0,Normal_Corporate_Payment
2023-07-26,05:32,ACC157353,ACC829692,9393.56,CNY,AED,Germany,Turkey,Cross-Border,1,Suspicious_Shell_Companies
2023-08-28,18:32,ACC345741,ACC538596,6638.35,MAD,MAD,Turkey,UAE,Cross-Border,1,Suspicious_Shell_Companies
2023-11-24,08:08,ACC848081,ACC541289,5066.37,AED,MXN,Morocco,UAE,Cash,1,Suspicious_CrossBorder_Transfer
2023-05-26,03:26,ACC485145,ACC291945,2514.81,CNY,AED,Turkey,USA,Cross-Border,1,Suspicious_RapidMovement
2023-04-30,20:35,ACC555342,ACC317972,6731.95,AED,MAD,Morocco,Turkey,Cross-Border,1,Suspicious_Cash_Intensive
2023-01-04,07:24,ACC695929,ACC227240,9822.58,USD,EUR,China,USA,Cash,1,Suspicious_CrossBorder_Transfer
2023-10-29,15:48,ACC151712,ACC272413,4767.46,AED,TRY,Turkey,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-10-20,13:35,ACC545405,ACC363380,1629.8,EUR,MXN,Turkey,UK,Cheque,1,Suspicious_Structuring
2023-02-08,11:19,ACC754373,ACC954348,1042.37,MXN,CNY,China,UAE,Debit Card,0,Normal_Personal_Transfer
2023-07-30,11:53,ACC430429,ACC991913,2699.87,MXN,USD,UK,UAE,E-Wallet,0,Normal_Corporate_Payment
2023-06-19,17:34,ACC215278,ACC228357,5698.73,MAD,AED,Germany,China,Cash,1,Suspicious_RapidMovement
2023-02-13,02:06,ACC609272,ACC376682,9468.58,USD,EUR,UAE,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-12-24,16:02,ACC798309,ACC505187,2998.66,MXN,EUR,Mexico,China,Cross-Border,1,Suspicious_Related_Accounts
2023-03-20,21:29,ACC265201,ACC601817,3060.86,MAD,EUR,Germany,Mexico,Cross-Border,1,Suspicious_Structuring
2023-01-25,01:23,ACC910944,ACC724109,4816.98,AED,TRY,UK,Germany,Debit Card,0,Normal_Personal_Transfer
2023-08-06,03:22,ACC726365,ACC576669,9186.24,TRY,MAD,Germany,UK,Cheque,1,Suspicious_Shell_Companies
2023-09-27,17:11,ACC834391,ACC662943,4196.36,MAD,GBP,China,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-01-12,10:29,ACC556770,ACC832382,2240.06,GBP,AED,Turkey,USA,Credit Card,0,Normal_Corporate_Payment
2023-08-29,09:41,ACC364208,ACC685072,1639.68,MXN,USD,Turkey,Germany,Cash,1,Suspicious_Cash_Intensive
2023-07-14,03:17,ACC719902,ACC484691,4575.58,MXN,AED,UAE,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-02-07,12:09,ACC282639,ACC268482,8008.77,TRY,MXN,Mexico,Germany,Debit Card,0,Normal_Corporate_Payment
2023-03-04,03:02,ACC217639,ACC453126,2920.61,AED,CNY,UK,Germany,Debit Card,0,Normal_Personal_Transfer
2023-07-27,11:26,ACC392155,ACC544518,5130.1,EUR,MAD,Turkey,China,Cash,1,Suspicious_Cash_Intensive
2023-04-19,18:19,ACC433296,ACC619328,6034.05,CNY,EUR,UK,Morocco,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-12-09,06:11,ACC828871,ACC514919,4510.2,MAD,CNY,USA,Mexico,Cross-Border,1,Suspicious_Cash_Intensive
2023-10-26,11:32,ACC110960,ACC930623,1924.99,EUR,AED,Morocco,Mexico,E-Wallet,0,Normal_Personal_Transfer
2023-12-26,23:48,ACC586744,ACC349526,9218.24,MAD,TRY,Mexico,USA,E-Wallet,0,Normal_Corporate_Payment
2023-04-05,16:28,ACC221789,ACC416256,5658.84,TRY,EUR,Morocco,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-12-20,20:11,ACC421064,ACC111399,7294.05,EUR,MAD,UK,Mexico,Cash,1,Suspicious_Related_Accounts
2023-06-07,09:57,ACC907819,ACC990797,6364.07,USD,MXN,Germany,UK,Debit Card,0,Normal_Personal_Transfer
2023-05-07,18:25,ACC508540,ACC112685,9980.5,TRY,CNY,Germany,USA,Mobile Payment,0,Normal_Personal_Transfer
2023-01-19,00:58,ACC688248,ACC449921,4568.54,AED,USD,Germany,UK,Cash,1,Suspicious_RapidMovement
2023-01-20,02:56,ACC222994,ACC890919,4255.47,CNY,EUR,Germany,Germany,Credit Card,0,Normal_Corporate_Payment
2023-09-10,04:52,ACC394772,ACC898450,3607.8,MAD,AED,UK,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-06-17,09:38,ACC830456,ACC763110,3622.67,GBP,AED,China,USA,Debit Card,0,Normal_Corporate_Payment
2023-03-24,20:17,ACC933884,ACC543445,2764.94,AED,CNY,Mexico,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-08-13,08:18,ACC927530,ACC707508,9806.49,AED,TRY,Germany,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-04-03,15:42,ACC563675,ACC405262,8709.11,GBP,CNY,UK,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-07-30,17:01,ACC794595,ACC159615,3173.56,GBP,TRY,Turkey,UAE,Debit Card,0,Normal_Corporate_Payment
2023-05-12,14:04,ACC449005,ACC704234,3059.24,MAD,GBP,Turkey,Morocco,Cross-Border,1,Suspicious_Cash_Intensive
2023-10-28,08:34,ACC127949,ACC352409,1044.3,AED,TRY,UK,Morocco,Debit Card,0,Normal_Personal_Transfer
2023-10-27,13:50,ACC253893,ACC746157,8771.54,MXN,GBP,Germany,UK,Debit Card,0,Normal_Corporate_Payment
2023-06-24,08:12,ACC302684,ACC901537,3723.94,TRY,USD,USA,USA,Credit Card,0,Normal_Personal_Transfer
2023-05-09,02:00,ACC435681,ACC987996,5730.43,TRY,MXN,UK,Morocco,Debit Card,0,Normal_Personal_Transfer
2023-05-13,23:49,ACC508519,ACC804875,9004.77,CNY,GBP,Mexico,Mexico,Cheque,1,Suspicious_CrossBorder_Transfer
2023-10-22,03:03,ACC478147,ACC147342,4086.93,EUR,EUR,Mexico,China,Mobile Payment,0,Normal_Corporate_Payment
2023-04-30,01:44,ACC313065,ACC474160,8070.61,TRY,MAD,USA,UAE,Cheque,1,Suspicious_CrossBorder_Transfer
2023-03-18,21:05,ACC882086,ACC870893,4308.55,CNY,AED,UAE,Mexico,Cash,1,Suspicious_Shell_Companies
2023-01-31,07:14,ACC505519,ACC283256,7012.4,CNY,EUR,Turkey,Turkey,Cash,1,Suspicious_RapidMovement
2023-06-20,15:36,ACC674989,ACC576463,4317.53,AED,AED,Turkey,China,Mobile Payment,0,Normal_Corporate_Payment
2023-06-25,07:53,ACC936943,ACC946938,3933.66,TRY,MXN,UK,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-11-03,09:23,ACC180664,ACC911399,9907.19,AED,CNY,USA,China,Cross-Border,1,Suspicious_Shell_Companies
2023-03-22,06:17,ACC511496,ACC922455,6127.37,EUR,TRY,UK,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-05-20,08:13,ACC139427,ACC940720,3680.24,TRY,MAD,UK,China,Credit Card,0,Normal_Corporate_Payment
2023-10-23,09:51,ACC197180,ACC877156,2585.62,TRY,EUR,USA,UK,Debit Card,0,Normal_Corporate_Payment
2023-10-28,17:17,ACC727838,ACC224939,407.27,CNY,MAD,Turkey,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-05-21,12:16,ACC177952,ACC987973,7068.6,USD,GBP,Morocco,China,ACH Transfer,0,Normal_Personal_Transfer
2023-06-17,22:38,ACC166046,ACC388766,3727.85,MAD,MXN,China,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-04-21,01:00,ACC206918,ACC669489,8214.33,EUR,EUR,Germany,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-12-07,12:04,ACC921632,ACC640638,3645.05,USD,TRY,Germany,UAE,Debit Card,0,Normal_Corporate_Payment
2023-02-13,14:01,ACC429586,ACC941252,3739.56,MXN,MAD,Germany,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-12-07,22:05,ACC554887,ACC935141,7794.02,EUR,TRY,USA,Mexico,Cheque,1,Suspicious_Cash_Intensive
2023-09-07,01:10,ACC715358,ACC974664,4899.77,AED,MAD,UK,UK,Cheque,1,Suspicious_Related_Accounts
2023-07-14,13:45,ACC682456,ACC261961,8850.1,MAD,EUR,Morocco,UK,E-Wallet,0,Normal_Corporate_Payment
2023-01-12,20:29,ACC934754,ACC241296,5905.46,TRY,MXN,Morocco,China,Cheque,1,Suspicious_RapidMovement
2023-06-23,05:48,ACC170246,ACC862620,2414.04,AED,USD,UK,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-05-29,21:01,ACC794252,ACC236537,5687.04,TRY,EUR,Mexico,Germany,Cash,1,Suspicious_Structuring
2023-02-28,00:27,ACC639871,ACC968850,49.98,USD,TRY,Morocco,Mexico,Mobile Payment,0,Normal_Personal_Transfer
2023-08-28,17:34,ACC444864,ACC197739,3130.85,USD,USD,UK,Mexico,Mobile Payment,0,Normal_Personal_Transfer
2023-12-21,22:23,ACC548431,ACC324552,2087.44,MXN,CNY,Turkey,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-07-25,15:46,ACC780213,ACC679502,6545.34,MXN,MXN,China,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-09-18,10:32,ACC499325,ACC326445,1369.03,MAD,TRY,Germany,Turkey,Cash,1,Suspicious_Related_Accounts
2023-01-25,01:04,ACC339285,ACC758304,2908.07,TRY,MXN,Morocco,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-06-02,22:04,ACC421901,ACC124336,3319.77,AED,MAD,UAE,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-02-12,11:17,ACC893091,ACC662912,42.9,GBP,EUR,Turkey,China,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-08-12,00:41,ACC363382,ACC951638,477.2,AED,MXN,Turkey,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-12-09,16:33,ACC745558,ACC144764,3118.15,CNY,TRY,Morocco,USA,Debit Card,0,Normal_Personal_Transfer
2023-08-30,11:33,ACC115064,ACC590548,2231.34,MXN,EUR,Morocco,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-01-29,02:59,ACC262187,ACC980757,1177.9,TRY,AED,China,Turkey,Cash,1,Suspicious_Structuring
2023-05-10,05:08,ACC787312,ACC145420,1550.07,AED,TRY,Germany,Turkey,Cash,1,Suspicious_Shell_Companies
2023-07-20,01:32,ACC760980,ACC582974,8357.01,AED,TRY,Morocco,UAE,Credit Card,0,Normal_Corporate_Payment
2023-05-28,13:46,ACC724078,ACC204381,6836.36,MXN,AED,USA,UK,E-Wallet,0,Normal_Corporate_Payment
2023-11-01,14:55,ACC989417,ACC689959,4846.33,CNY,AED,China,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-10-25,12:08,ACC144258,ACC731884,9089.66,AED,USD,Turkey,Germany,Debit Card,0,Normal_Personal_Transfer
2023-08-12,19:36,ACC759830,ACC912879,305.23,AED,GBP,Morocco,UAE,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-05-17,20:39,ACC911100,ACC235105,3455.9,EUR,MXN,UK,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-04-04,14:46,ACC439403,ACC120497,8235.6,CNY,MXN,Germany,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-02-08,00:18,ACC736480,ACC179714,6286.61,USD,USD,Mexico,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-05-10,16:41,ACC458720,ACC226892,9817.06,TRY,CNY,UAE,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-05-31,10:01,ACC729769,ACC303154,9445.7,AED,MAD,China,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-09-04,13:34,ACC997937,ACC864227,1707.73,MXN,CNY,Turkey,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-08-29,15:34,ACC263118,ACC243954,9720.15,USD,MXN,USA,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-01-26,08:24,ACC302049,ACC772305,9455.89,CNY,AED,Turkey,USA,Credit Card,0,Normal_Personal_Transfer
2023-05-25,22:00,ACC871888,ACC349720,3742.37,AED,CNY,Mexico,UAE,E-Wallet,0,Normal_Corporate_Payment
2023-03-08,03:12,ACC570471,ACC946302,9828.97,AED,USD,Morocco,China,E-Wallet,0,Normal_Personal_Transfer
2023-02-27,16:06,ACC105397,ACC773955,368.08,GBP,MXN,Morocco,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-10-29,00:06,ACC986357,ACC315363,6610.9,MXN,MXN,USA,China,E-Wallet,0,Normal_Corporate_Payment
2023-01-16,22:11,ACC707769,ACC197847,2668.82,TRY,TRY,Germany,UK,Cross-Border,1,Suspicious_RapidMovement
2023-06-03,02:42,ACC253305,ACC295110,1303.34,EUR,USD,China,USA,Credit Card,0,Normal_Personal_Transfer
2023-03-03,02:16,ACC576552,ACC342303,5779.57,USD,AED,USA,UK,Credit Card,0,Normal_Personal_Transfer
2023-11-17,07:59,ACC422452,ACC458278,3070.44,CNY,MAD,Mexico,UAE,Credit Card,0,Normal_Corporate_Payment
2023-07-23,08:57,ACC300798,ACC528665,6671.59,USD,MXN,Turkey,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-03-26,05:08,ACC556435,ACC987542,5404.41,EUR,MAD,Mexico,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-07-03,14:02,ACC596574,ACC865625,3931.97,TRY,GBP,UK,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-09-24,10:37,ACC625418,ACC511855,1826.4,MAD,USD,USA,UK,Cash,1,Suspicious_Related_Accounts
2023-12-16,00:49,ACC748581,ACC829988,6016.49,CNY,USD,UAE,USA,Credit Card,0,Normal_Personal_Transfer
2023-03-22,07:40,ACC638359,ACC171918,8294.01,GBP,USD,China,UAE,Credit Card,0,Normal_Corporate_Payment
2023-11-20,19:27,ACC971949,ACC535926,6004.04,MAD,AED,China,China,Credit Card,0,Normal_Corporate_Payment
2023-12-08,16:33,ACC472384,ACC285123,6109.12,CNY,CNY,Turkey,Germany,Cross-Border,1,Suspicious_Structuring
2023-12-01,17:23,ACC626406,ACC291711,5123.26,AED,AED,Turkey,UK,Mobile Payment,0,Normal_Personal_Transfer
2023-08-20,16:45,ACC756023,ACC103159,3888.52,EUR,TRY,Morocco,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-08-18,07:27,ACC162408,ACC957624,4580.01,GBP,CNY,Turkey,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-05-28,02:23,ACC151786,ACC429132,9895.52,TRY,USD,UK,Germany,Credit Card,0,Normal_Corporate_Payment
2023-10-02,06:32,ACC705559,ACC732027,7499.19,MXN,TRY,UAE,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-07-13,19:57,ACC119158,ACC380850,4311.29,MXN,AED,Mexico,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-09-05,23:31,ACC917519,ACC503078,4578.39,CNY,GBP,Turkey,Germany,Cross-Border,1,Suspicious_Cash_Intensive
2023-06-06,11:51,ACC188114,ACC896651,5001.32,CNY,EUR,Morocco,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-09-24,00:13,ACC808481,ACC451161,6596.55,MAD,TRY,USA,UAE,Cross-Border,1,Suspicious_Related_Accounts
2023-10-28,03:21,ACC621358,ACC396680,4664.92,TRY,MXN,Turkey,Mexico,E-Wallet,0,Normal_Personal_Transfer
2023-02-23,07:43,ACC644162,ACC433776,6864.93,GBP,USD,Mexico,Morocco,Cheque,1,Suspicious_Shell_Companies
2023-11-01,13:53,ACC339139,ACC858849,3298.59,CNY,CNY,USA,Germany,Debit Card,0,Normal_Personal_Transfer
2023-07-17,01:48,ACC969875,ACC570607,4112.29,CNY,EUR,USA,UAE,Debit Card,0,Normal_Personal_Transfer
2023-11-05,22:38,ACC665109,ACC556102,8641.89,MAD,TRY,USA,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-06-07,08:45,ACC739963,ACC995230,3295.77,EUR,CNY,Mexico,China,Credit Card,0,Normal_Corporate_Payment
2023-05-19,21:54,ACC422726,ACC573212,9644.72,MAD,CNY,Turkey,Germany,Cross-Border,1,Suspicious_Shell_Companies
2023-11-30,18:43,ACC222603,ACC396081,1733.32,TRY,MAD,Mexico,USA,Credit Card,0,Normal_Personal_Transfer
2023-04-02,18:07,ACC514921,ACC121094,2424.38,AED,AED,Mexico,Turkey,Debit Card,0,Normal_Personal_Transfer
2023-11-05,14:33,ACC693669,ACC225312,4642.16,TRY,MAD,Germany,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-06-26,15:02,ACC998232,ACC204894,7976.11,MXN,MXN,Morocco,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-07-07,15:18,ACC597821,ACC870434,7318.44,EUR,EUR,Mexico,UAE,Cheque,1,Suspicious_RapidMovement
2023-04-23,15:05,ACC492949,ACC741406,1752.92,MXN,GBP,UK,China,Cross-Border,1,Suspicious_Cash_Intensive
2023-07-29,13:17,ACC275725,ACC783284,2374.48,GBP,TRY,Morocco,China,Cheque,1,Suspicious_Shell_Companies
2023-04-29,23:40,ACC968450,ACC969757,5756.88,GBP,MAD,Germany,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-01-15,17:34,ACC987024,ACC755483,2958.7,USD,MAD,USA,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-04-10,18:38,ACC978058,ACC607146,4229.03,TRY,TRY,Turkey,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-01-03,20:56,ACC710505,ACC433589,4871.08,EUR,MAD,China,UAE,Cheque,1,Suspicious_Cash_Intensive
2023-12-24,05:10,ACC878873,ACC131854,5946.52,EUR,GBP,Turkey,UAE,Cheque,1,Suspicious_Structuring
2023-12-19,02:00,ACC566548,ACC160796,2518.0,MXN,CNY,Germany,UK,Cheque,1,Suspicious_Related_Accounts
2023-05-25,11:35,ACC434943,ACC431576,1639.77,MAD,MAD,Morocco,Turkey,Cross-Border,1,Suspicious_RapidMovement
2023-09-23,12:20,ACC424329,ACC290040,3991.65,MAD,TRY,Germany,USA,E-Wallet,0,Normal_Corporate_Payment
2023-05-07,19:54,ACC571529,ACC903543,829.44,MXN,USD,Morocco,Morocco,Mobile Payment,0,Normal_Personal_Transfer
2023-09-02,10:39,ACC403682,ACC172575,5272.38,AED,MAD,Morocco,Morocco,Cross-Border,1,Suspicious_Shell_Companies
2023-10-21,13:42,ACC906775,ACC210380,8397.66,MAD,TRY,USA,USA,Debit Card,0,Normal_Corporate_Payment
2023-12-12,12:38,ACC598905,ACC386243,1198.57,EUR,CNY,Mexico,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-05-27,00:55,ACC311470,ACC562422,1136.18,CNY,CNY,Mexico,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-10-13,14:45,ACC534448,ACC208871,811.38,CNY,USD,Germany,China,Cheque,1,Suspicious_Shell_Companies
2023-04-08,19:52,ACC220026,ACC874079,8480.13,CNY,MAD,Mexico,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-12-28,03:46,ACC334257,ACC377173,816.24,MXN,MAD,Germany,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-01-10,14:15,ACC153106,ACC525027,9834.79,CNY,TRY,Turkey,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-08-09,14:14,ACC181227,ACC115793,3589.73,MAD,MXN,China,China,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-08-29,03:56,ACC546295,ACC410250,3294.33,USD,MXN,Turkey,China,ACH Transfer,0,Normal_Personal_Transfer
2023-09-09,02:57,ACC780388,ACC447806,925.4,TRY,EUR,China,UAE,Debit Card,0,Normal_Personal_Transfer
2023-02-13,23:31,ACC666423,ACC315836,5860.56,USD,MXN,USA,China,Cash,1,Suspicious_Cash_Intensive
2023-12-09,09:26,ACC786426,ACC882778,5862.96,MAD,GBP,UAE,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-03-08,05:27,ACC743887,ACC577347,4943.12,GBP,CNY,UK,UAE,Credit Card,0,Normal_Personal_Transfer
2023-08-16,04:06,ACC854077,ACC494188,3117.09,EUR,EUR,UK,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-03-23,16:01,ACC183470,ACC493576,3692.12,USD,CNY,UAE,Turkey,Cross-Border,1,Suspicious_Shell_Companies
2023-04-23,14:37,ACC907342,ACC757992,3211.83,USD,MXN,Turkey,USA,Debit Card,0,Normal_Personal_Transfer
2023-07-19,15:26,ACC868378,ACC858612,4267.2,MXN,USD,Mexico,China,Cheque,1,Suspicious_Cash_Intensive
2023-06-02,02:06,ACC238213,ACC180882,3424.46,MXN,AED,UK,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-02-28,21:26,ACC145950,ACC249080,6758.42,MXN,TRY,China,Germany,Cash,1,Suspicious_RapidMovement
2023-03-04,09:20,ACC811083,ACC701944,2964.91,MAD,CNY,USA,China,Credit Card,0,Normal_Corporate_Payment
2023-06-02,07:31,ACC378369,ACC523499,3514.87,AED,MXN,China,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-10-04,11:05,ACC593466,ACC937340,4360.24,AED,USD,Morocco,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-11-24,09:21,ACC395103,ACC763178,49.58,CNY,AED,Germany,UAE,Cross-Border,1,Suspicious_Structuring
2023-01-31,20:43,ACC935624,ACC563871,4925.9,GBP,EUR,Mexico,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-05-24,22:18,ACC179711,ACC130579,2565.64,USD,TRY,Mexico,UAE,Cross-Border,1,Suspicious_Cash_Intensive
2023-02-06,07:16,ACC241123,ACC679466,570.94,TRY,CNY,UK,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-01-07,20:44,ACC302500,ACC812944,9111.1,CNY,MXN,UAE,Turkey,Cash,1,Suspicious_Shell_Companies
2023-08-30,18:45,ACC879572,ACC296092,3230.96,CNY,EUR,Germany,Morocco,Cheque,1,Suspicious_Structuring
2023-08-08,22:20,ACC365593,ACC604473,4266.59,MXN,CNY,UK,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-03-01,05:53,ACC466357,ACC737492,8275.16,GBP,MXN,Morocco,USA,Debit Card,0,Normal_Corporate_Payment
2023-03-27,13:50,ACC784550,ACC719661,1676.22,MAD,EUR,UK,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-01-09,06:35,ACC724533,ACC614879,8504.59,CNY,CNY,UK,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-11-01,19:46,ACC197069,ACC756335,2423.96,GBP,MXN,Germany,Turkey,Cross-Border,1,Suspicious_Related_Accounts
2023-12-22,00:07,ACC781501,ACC556695,5894.49,MXN,AED,UK,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-02-19,13:33,ACC333597,ACC378409,6859.93,EUR,USD,Morocco,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-03-26,08:08,ACC648196,ACC949950,9051.09,CNY,GBP,Mexico,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-11-13,07:44,ACC466991,ACC497534,6080.3,USD,AED,UAE,USA,Credit Card,0,Normal_Corporate_Payment
2023-12-05,15:28,ACC878628,ACC528297,4537.79,MXN,CNY,UK,USA,Debit Card,0,Normal_Personal_Transfer
2023-06-03,20:26,ACC900444,ACC289721,5726.97,TRY,USD,Germany,China,ACH Transfer,0,Normal_Personal_Transfer
2023-01-19,14:37,ACC117412,ACC739763,2028.8,USD,TRY,Germany,UK,Cross-Border,1,Suspicious_Structuring
2023-01-15,20:28,ACC472174,ACC610332,6893.85,GBP,MXN,UAE,Mexico,Cheque,1,Suspicious_Structuring
2023-07-29,06:21,ACC911089,ACC600267,1876.94,AED,GBP,UAE,China,Debit Card,0,Normal_Corporate_Payment
2023-05-24,12:28,ACC367800,ACC798429,5576.9,TRY,AED,China,Morocco,Cash,1,Suspicious_Cash_Intensive
2023-01-11,10:48,ACC240039,ACC606568,6479.56,USD,GBP,UK,UK,Cross-Border,1,Suspicious_RapidMovement
2023-08-01,00:16,ACC578174,ACC309742,8986.85,CNY,TRY,Germany,Morocco,Cash,1,Suspicious_Related_Accounts
2023-01-05,13:21,ACC508980,ACC467112,4507.4,CNY,CNY,Turkey,USA,Debit Card,0,Normal_Corporate_Payment
2023-10-15,15:52,ACC902305,ACC998118,7755.58,TRY,TRY,UK,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-04-22,14:12,ACC718773,ACC176377,1683.63,GBP,GBP,USA,UK,Credit Card,0,Normal_Personal_Transfer
2023-01-15,17:40,ACC995815,ACC453815,1570.4,CNY,TRY,UAE,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-08-03,13:42,ACC544246,ACC243499,5252.73,CNY,TRY,Mexico,Turkey,Cheque,1,Suspicious_Shell_Companies
2023-05-26,01:36,ACC298879,ACC533467,5967.44,MXN,CNY,Mexico,China,Cross-Border,1,Suspicious_Related_Accounts
2023-12-22,02:47,ACC625895,ACC330739,6327.09,AED,MXN,Turkey,UAE,Debit Card,0,Normal_Corporate_Payment
2023-07-18,14:18,ACC250595,ACC726551,7459.28,TRY,USD,UK,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-04-11,06:35,ACC672735,ACC518381,2956.37,MXN,MAD,Morocco,UK,Cross-Border,1,Suspicious_Shell_Companies
2023-09-16,01:54,ACC149757,ACC745647,6229.85,AED,CNY,Mexico,China,E-Wallet,0,Normal_Corporate_Payment
2023-04-10,10:18,ACC884402,ACC460988,1889.51,GBP,EUR,UAE,UK,Debit Card,0,Normal_Personal_Transfer
2023-11-27,13:18,ACC350495,ACC689215,2197.79,AED,CNY,Mexico,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-05-17,07:53,ACC848886,ACC435314,682.42,GBP,GBP,Morocco,Germany,ACH Transfer,0,Normal_Corporate_Payment
